,timestamp,tag,description,condition
12188,2022-01-01 03:23:08,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH
12456,2022-01-01 03:27:36,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,HIGH RECOVERED
12481,2022-01-01 03:28:01,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,HIGH HIGH RECOVERED
13684,2022-01-01 03:48:04,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW LOW
14487,2022-01-01 04:01:27,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,LOW
14862,2022-01-01 04:07:42,TI106,E-106 REBOILER INLET TEMPERATURE,FAULT
15281,2022-01-01 04:14:41,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,LOW RECOVERED
15398,2022-01-01 04:16:38,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH HIGH RECOVERED
16588,2022-01-01 04:36:28,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH RECOVERED
17316,2022-01-01 04:48:36,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH
17596,2022-01-01 04:53:16,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW LOW RECOVERED
17725,2022-01-01 04:55:25,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,LOW LOW
18339,2022-01-01 05:05:39,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,HIGH HIGH
18406,2022-01-01 05:06:46,FI101,T-101 DISTILLATION COLUMN IN FLOW,LOW
19213,2022-01-01 05:20:13,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH
20111,2022-01-01 05:35:11,TI106,E-106 REBOILER INLET TEMPERATURE,FAULT RECOVERED
20309,2022-01-01 05:38:29,FI101,T-101 DISTILLATION COLUMN IN FLOW,LOW RECOVERED
20422,2022-01-01 05:40:22,FI101,T-101 DISTILLATION COLUMN IN FLOW,FAULT
20767,2022-01-01 05:46:07,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,LOW RECOVERED
21307,2022-01-01 05:55:07,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH RECOVERED
21951,2022-01-01 06:05:51,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH RECOVERED
22018,2022-01-01 06:06:58,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,HIGH
23539,2022-01-01 06:32:19,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,LOW LOW RECOVERED
24025,2022-01-01 06:40:25,TI107,E-106 REBOILER OUTLET TEMPERATURE,HIGH
24808,2022-01-01 06:53:28,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,HIGH RECOVERED
25099,2022-01-01 06:58:19,TI106,E-106 REBOILER INLET TEMPERATURE,LOW LOW
25401,2022-01-01 07:03:21,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,HIGH HIGH RECOVERED
26002,2022-01-01 07:13:22,FI101,T-101 DISTILLATION COLUMN IN FLOW,FAULT RECOVERED
27087,2022-01-01 07:31:27,TI107,E-106 REBOILER OUTLET TEMPERATURE,HIGH RECOVERED
29394,2022-01-01 08:09:54,LI101,T-101 DISTILLATION COLUMN LEVEL,FAULT
30362,2022-01-01 08:26:02,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT
30754,2022-01-01 08:32:34,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW LOW
32050,2022-01-01 08:54:10,TI106,E-106 REBOILER INLET TEMPERATURE,LOW LOW RECOVERED
32742,2022-01-01 09:05:42,LI101,T-101 DISTILLATION COLUMN LEVEL,FAULT RECOVERED
33858,2022-01-01 09:24:18,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,HIGH
34011,2022-01-01 09:26:51,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW LOW
34722,2022-01-01 09:38:42,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH
34855,2022-01-01 09:40:55,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW
35106,2022-01-01 09:45:06,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT RECOVERED
35254,2022-01-01 09:47:34,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW LOW RECOVERED
35949,2022-01-01 09:59:09,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW
36758,2022-01-01 10:12:38,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,HIGH RECOVERED
36863,2022-01-01 10:14:23,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH
37498,2022-01-01 10:24:58,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH RECOVERED
37785,2022-01-01 10:29:45,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH
38515,2022-01-01 10:41:55,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,FAULT
38655,2022-01-01 10:44:15,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW RECOVERED
38817,2022-01-01 10:46:57,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW LOW RECOVERED
40052,2022-01-01 11:07:32,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,HIGH
40657,2022-01-01 11:17:37,PI101,T-101 DISTILLATION COLUMN PRESSURE,HIGH RECOVERED
41282,2022-01-01 11:28:02,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH RECOVERED
41843,2022-01-01 11:37:23,FI110,TOLUENE PRODUCT FLOW,LOW LOW
42075,2022-01-01 11:41:15,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,FAULT RECOVERED
42369,2022-01-01 11:46:09,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW RECOVERED
42384,2022-01-01 11:46:24,PI104,V-104 DISTILLATE VESSEL PRESSURE,LOW
42822,2022-01-01 11:53:42,PI106,E-106 REBOILER INLET PRESSURE,LOW RECOVERED
43751,2022-01-01 12:09:11,PI106,E-106 REBOILER INLET PRESSURE,LOW
44056,2022-01-01 12:14:16,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,HIGH RECOVERED
44397,2022-01-01 12:19:57,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,LOW LOW
44401,2022-01-01 12:20:01,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,HIGH HIGH
44492,2022-01-01 12:21:32,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,HIGH HIGH
45207,2022-01-01 12:33:27,TI106,E-106 REBOILER INLET TEMPERATURE,LOW
45291,2022-01-01 12:34:51,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT
46191,2022-01-01 12:49:51,PI104,V-104 DISTILLATE VESSEL PRESSURE,LOW RECOVERED
46744,2022-01-01 12:59:04,FI110,TOLUENE PRODUCT FLOW,LOW LOW RECOVERED
47461,2022-01-01 13:11:01,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,LOW
48592,2022-01-01 13:29:52,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,FAULT RECOVERED
49492,2022-01-01 13:44:52,LI104,V-104 DISTILLATE VESSEL LEVEL,LL
49583,2022-01-01 13:46:23,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,LOW
49593,2022-01-01 13:46:33,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH
49663,2022-01-01 13:47:43,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW LOW
49664,2022-01-01 13:47:44,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,HIGH HIGH RECOVERED
49678,2022-01-01 13:47:58,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,LOW LOW RECOVERED
49853,2022-01-01 13:50:53,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,LOW RECOVERED
49920,2022-01-01 13:52:00,TI106,E-106 REBOILER INLET TEMPERATURE,LOW RECOVERED
50277,2022-01-01 13:57:57,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW
50989,2022-01-01 14:09:49,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW RECOVERED
51229,2022-01-01 14:13:49,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW LOW RECOVERED
51296,2022-01-01 14:14:56,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH RECOVERED
51684,2022-01-01 14:21:24,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,LOW LOW
53212,2022-01-01 14:46:52,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW LOW
55280,2022-01-01 15:21:20,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE,LOW RECOVERED
55447,2022-01-01 15:24:07,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH
55831,2022-01-01 15:30:31,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,LOW LOW RECOVERED
56502,2022-01-01 15:41:42,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH HIGH
56509,2022-01-01 15:41:49,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH HIGH RECOVERED
56924,2022-01-01 15:48:44,LI104,V-104 DISTILLATE VESSEL LEVEL,LL RECOVERED
57046,2022-01-01 15:50:46,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW LOW RECOVERED
58208,2022-01-01 16:10:08,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW
58236,2022-01-01 16:10:36,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH HIGH
58965,2022-01-01 16:22:45,FI106,E-106 REBOILER INLET FLOW,HIGH HIGH
59035,2022-01-01 16:23:55,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,HIGH
59039,2022-01-01 16:23:59,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH RECOVERED
59908,2022-01-01 16:38:28,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH HIGH
60291,2022-01-01 16:44:51,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH HIGH RECOVERED
60931,2022-01-01 16:55:31,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW LOW
61366,2022-01-01 17:02:46,FI106,E-106 REBOILER INLET FLOW,HIGH HIGH RECOVERED
61419,2022-01-01 17:03:39,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,HIGH
61754,2022-01-01 17:09:14,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,HIGH RECOVERED
62147,2022-01-01 17:15:47,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW RECOVERED
62245,2022-01-01 17:17:25,LIC104,V-104 DISTILLATE VESSEL LEVEL CONTROLLER,HIGH HIGH RECOVERED
62916,2022-01-01 17:28:36,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH
65788,2022-01-01 18:16:28,PI106,E-106 REBOILER INLET PRESSURE,HIGH RECOVERED
65836,2022-01-01 18:17:16,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW LOW
65893,2022-01-01 18:18:13,PI106,E-106 REBOILER INLET PRESSURE,HIGH
65975,2022-01-01 18:19:35,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,HIGH
66468,2022-01-01 18:27:48,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH RECOVERED
66730,2022-01-01 18:32:10,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW LOW RECOVERED
67076,2022-01-01 18:37:56,PI104,V-104 DISTILLATE VESSEL PRESSURE,FAULT
67298,2022-01-01 18:41:38,PI104,V-104 DISTILLATE VESSEL PRESSURE,FAULT RECOVERED
68417,2022-01-01 19:00:17,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,HIGH RECOVERED
68727,2022-01-01 19:05:27,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,HIGH RECOVERED
69215,2022-01-01 19:13:35,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW LOW RECOVERED
72334,2022-01-01 20:05:34,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH HIGH
72593,2022-01-01 20:09:53,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH HIGH RECOVERED
72842,2022-01-01 20:14:02,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW
74574,2022-01-01 20:42:54,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,HIGH HIGH
75909,2022-01-01 21:05:09,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW LOW
76009,2022-01-01 21:06:49,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW
76101,2022-01-01 21:08:21,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,HIGH HIGH RECOVERED
77250,2022-01-01 21:27:30,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW RECOVERED
77713,2022-01-01 21:35:13,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,LOW LOW
78271,2022-01-01 21:44:31,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW RECOVERED
78511,2022-01-01 21:48:31,FI106,E-106 REBOILER INLET FLOW,HIGH
79603,2022-01-01 22:06:43,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,LOW LOW RECOVERED
79923,2022-01-01 22:12:03,PI101,T-101 DISTILLATION COLUMN PRESSURE,FAULT
81061,2022-01-01 22:31:01,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW LOW
81462,2022-01-01 22:37:42,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,FAULT
82669,2022-01-01 22:57:49,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
82751,2022-01-01 22:59:11,TI108,V-104 DISTILLATE VESSEL TEMPERATURE,FAULT RECOVERED
83152,2022-01-01 23:05:52,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,LOW LOW RECOVERED
83604,2022-01-01 23:13:24,PI101,T-101 DISTILLATION COLUMN PRESSURE,FAULT RECOVERED
84553,2022-01-01 23:29:13,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW LOW RECOVERED
84556,2022-01-01 23:29:16,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH HIGH
84573,2022-01-01 23:29:33,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,HIGH RECOVERED
84626,2022-01-01 23:30:26,LI104,V-104 DISTILLATE VESSEL LEVEL,LL
85564,2022-01-01 23:46:04,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,HIGH
85651,2022-01-01 23:47:31,TI107,E-106 REBOILER OUTLET TEMPERATURE,HIGH
85880,2022-01-01 23:51:20,LI104,V-104 DISTILLATE VESSEL LEVEL,LL RECOVERED
87128,2022-01-02 00:12:08,TI107,E-106 REBOILER OUTLET TEMPERATURE,HIGH RECOVERED
87364,2022-01-02 00:16:04,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,FAULT
88213,2022-01-02 00:30:13,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH HIGH RECOVERED
88342,2022-01-02 00:32:22,TI106,E-106 REBOILER INLET TEMPERATURE,LOW
88492,2022-01-02 00:34:52,HS102B,P-102B VIBRATION HI,FAULT
88716,2022-01-02 00:38:36,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH HIGH
89517,2022-01-02 00:51:57,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,FAULT RECOVERED
91206,2022-01-02 01:20:06,FI110,TOLUENE PRODUCT FLOW,HIGH HIGH
91658,2022-01-02 01:27:38,TI106,E-106 REBOILER INLET TEMPERATURE,LOW RECOVERED
92466,2022-01-02 01:41:06,FI110,TOLUENE PRODUCT FLOW,HIGH HIGH RECOVERED
93370,2022-01-02 01:56:10,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW LOW
94516,2022-01-02 02:15:16,HS102B,P-102B VIBRATION HI,FAULT RECOVERED
95332,2022-01-02 02:28:52,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH HIGH RECOVERED
95693,2022-01-02 02:34:53,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW LOW RECOVERED
97713,2022-01-02 03:08:33,TI110,E-104 CONDENSER COOLING WATER INLET TEMPERATURE,HIGH HIGH
98070,2022-01-02 03:14:30,FI105,BENZENE PRODUCT FLOW,LOW
100017,2022-01-02 03:46:57,PI106,E-106 REBOILER INLET PRESSURE,HIGH
100267,2022-01-02 03:51:07,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH
100469,2022-01-02 03:54:29,FI101,T-101 DISTILLATION COLUMN IN FLOW,FAULT
100932,2022-01-02 04:02:12,PI106,E-106 REBOILER INLET PRESSURE,HIGH RECOVERED
101036,2022-01-02 04:03:56,TI106,E-106 REBOILER INLET TEMPERATURE,LOW
101891,2022-01-02 04:18:11,FI105,BENZENE PRODUCT FLOW,LOW RECOVERED
102709,2022-01-02 04:31:49,TI106,E-106 REBOILER INLET TEMPERATURE,LOW RECOVERED
103007,2022-01-02 04:36:47,TI109,E-104 CONDENSER INLET TEMPERATURE,HIGH RECOVERED
103638,2022-01-02 04:47:18,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,HIGH HIGH
104183,2022-01-02 04:56:23,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH HIGH
104264,2022-01-02 04:57:44,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH
104288,2022-01-02 04:58:08,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH
104978,2022-01-02 05:09:38,PI106,E-106 REBOILER INLET PRESSURE,LOW LOW
105342,2022-01-02 05:15:42,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,HIGH HIGH RECOVERED
105552,2022-01-02 05:19:12,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,LOW LOW
106050,2022-01-02 05:27:30,FI101,T-101 DISTILLATION COLUMN IN FLOW,FAULT RECOVERED
106156,2022-01-02 05:29:16,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,HIGH HIGH RECOVERED
106882,2022-01-02 05:41:22,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW LOW
106992,2022-01-02 05:43:12,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH RECOVERED
107475,2022-01-02 05:51:15,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH HIGH RECOVERED
109752,2022-01-02 06:29:12,TI109,E-104 CONDENSER INLET TEMPERATURE,LOW LOW RECOVERED
109837,2022-01-02 06:30:37,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,LOW LOW RECOVERED
110220,2022-01-02 06:37:00,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,FAULT
110413,2022-01-02 06:40:13,PI106,E-106 REBOILER INLET PRESSURE,LOW LOW RECOVERED
110816,2022-01-02 06:46:56,FI110,TOLUENE PRODUCT FLOW,LOW
111749,2022-01-02 07:02:29,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,LOW LOW
112160,2022-01-02 07:09:20,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW
113503,2022-01-02 07:31:43,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,FAULT RECOVERED
114288,2022-01-02 07:44:48,FI104,E-104 CONDENSER COOLING WATER INLET FLOW,LOW LOW RECOVERED
114894,2022-01-02 07:54:54,FI110,TOLUENE PRODUCT FLOW,LOW RECOVERED
116073,2022-01-02 08:14:33,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH HIGH
116767,2022-01-02 08:26:07,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,LOW LOW
117780,2022-01-02 08:43:00,LI104,V-104 DISTILLATE VESSEL LEVEL,FAULT
117938,2022-01-02 08:45:38,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,LOW LOW RECOVERED
118380,2022-01-02 08:53:00,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW LOW
118417,2022-01-02 08:53:37,HS102A,P-102A MOTOR FAULT,FAULT
118428,2022-01-02 08:53:48,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,FAULT
118750,2022-01-02 08:59:10,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,HIGH HIGH
120372,2022-01-02 09:26:12,LI104,V-104 DISTILLATE VESSEL LEVEL,HIGH HIGH RECOVERED
120495,2022-01-02 09:28:15,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,HIGH
120731,2022-01-02 09:32:11,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH
120940,2022-01-02 09:35:40,HS102A,P-102A MOTOR FAULT,FAULT RECOVERED
121471,2022-01-02 09:44:31,PI105,V-104 DISTILLATE VESSEL FUEL GAS PRESSURE CONTROLLER,HIGH HIGH RECOVERED
122733,2022-01-02 10:05:33,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,HIGH
123126,2022-01-02 10:12:06,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,FAULT RECOVERED
123145,2022-01-02 10:12:25,PI111,P-102B PRODUCT PUMP DISCHARGE PRESSURE,LOW LOW RECOVERED
123500,2022-01-02 10:18:20,FI110,TOLUENE PRODUCT FLOW,FAULT
123846,2022-01-02 10:24:06,LI104,V-104 DISTILLATE VESSEL LEVEL,FAULT RECOVERED
124010,2022-01-02 10:26:50,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,HIGH RECOVERED
124389,2022-01-02 10:33:09,FIC101,T-101 DISTILLATION COLUMN IN FLOW CONTROLLER,LOW
124408,2022-01-02 10:33:28,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW LOW RECOVERED
124567,2022-01-02 10:36:07,FI106,E-106 REBOILER INLET FLOW,LOW
124591,2022-01-02 10:36:31,PI106,E-106 REBOILER INLET PRESSURE,LOW
124623,2022-01-02 10:37:03,TI106,E-106 REBOILER INLET TEMPERATURE,LOW
124637,2022-01-02 10:37:17,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW
124663,2022-01-02 10:37:43,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,HIGH
124667,2022-01-02 10:37:47,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH
124715,2022-01-02 10:38:35,FI110,TOLUENE PRODUCT FLOW,LOW
124911,2022-01-02 10:41:51,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
124929,2022-01-02 10:42:09,PI106,E-106 REBOILER INLET PRESSURE,LOW RECOVERED
124965,2022-01-02 10:42:45,TI106,E-106 REBOILER INLET TEMPERATURE,LOW RECOVERED
124979,2022-01-02 10:42:59,TI107,E-106 REBOILER OUTLET TEMPERATURE,LOW RECOVERED
125004,2022-01-02 10:43:24,LI101,T-101 DISTILLATION COLUMN LEVEL,HIGH RECOVERED
125012,2022-01-02 10:43:32,LIC101,T-101 DISTILLATION COLUMN LEVEL CONTROLLER,HIGH RECOVERED
125054,2022-01-02 10:44:14,FI110,TOLUENE PRODUCT FLOW,LOW RECOVERED
125077,2022-01-02 10:44:37,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,LOW LOW
125232,2022-01-02 10:47:12,FI110,TOLUENE PRODUCT FLOW,FAULT RECOVERED
125249,2022-01-02 10:47:29,TI106,E-106 REBOILER INLET TEMPERATURE,HIGH RECOVERED
126895,2022-01-02 11:14:55,TI111,E-104 CONDENSER COOLING WATER OUTLET TEMPERATURE,HIGH RECOVERED
127387,2022-01-02 11:23:07,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,LOW LOW
127560,2022-01-02 11:26:00,PI110,P-102A PRODUCT PUMP DISCHARGE PRESSURE,LOW LOW RECOVERED
128936,2022-01-02 11:48:56,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,LOW LOW RECOVERED
