index,timestamp,tag,description,condition
59,2026-01-01 00:34:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
60,2026-01-01 00:35:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
61,2026-01-01 00:35:00.000,FI111,BENZENE PRODUCT FLOW,LOW
62,2026-01-01 00:35:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
63,2026-01-01 00:36:00.000,FI101,T-101 REFLUX FLOW,LOW LOW RECOVERED
64,2026-01-01 00:36:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
65,2026-01-01 00:36:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
66,2026-01-01 00:37:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
67,2026-01-01 00:37:30.000,TIC102,T-101 DISTILLATION COLUMN TEMPERATURE CONTROLLER,FAULT
68,2026-01-01 00:37:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
69,2026-01-01 00:37:30.000,FI101,T-101 REFLUX FLOW,LOW RECOVERED
70,2026-01-01 00:37:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
71,2026-01-01 00:38:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
72,2026-01-01 00:38:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
73,2026-01-01 00:38:30.000,FI111,BENZENE PRODUCT FLOW,LOW RECOVERED
74,2026-01-01 00:39:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW
75,2026-01-01 00:39:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
76,2026-01-01 00:39:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH
77,2026-01-01 00:40:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
78,2026-01-01 00:40:40.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW LOW
79,2026-01-01 00:41:30.000,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,LOW
80,2026-01-01 00:41:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
81,2026-01-01 00:41:30.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW LOW RECOVERED
82,2026-01-01 00:41:30.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW RECOVERED
83,2026-01-01 00:41:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
84,2026-01-01 00:41:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
85,2026-01-01 00:42:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH
86,2026-01-01 00:43:00.000,LI106,E-106 REBOILER LEVEL,LOW
87,2026-01-01 00:43:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH RECOVERED
88,2026-01-01 00:44:00.000,AI110,TOLUENE PRODUCT QUALITY ANALYZER,FAULT
89,2026-01-01 00:44:30.000,PSV101,T-101 PRESSURE SAFETY VALVE,OPEN
90,2026-01-01 00:44:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
91,2026-01-01 00:45:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
92,2026-01-01 00:45:30.000,PSV101,T-101 PRESSURE SAFETY VALVE,OPEN RECOVERED
93,2026-01-01 00:46:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH
94,2026-01-01 00:46:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
95,2026-01-01 00:46:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
96,2026-01-01 00:47:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
97,2026-01-01 00:47:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
98,2026-01-01 00:48:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
99,2026-01-01 00:48:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH RECOVERED
100,2026-01-01 00:48:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
101,2026-01-01 00:50:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
102,2026-01-01 00:51:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
103,2026-01-01 00:51:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
104,2026-01-01 00:52:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
105,2026-01-01 00:52:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
106,2026-01-01 00:53:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
107,2026-01-01 00:54:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
108,2026-01-01 00:54:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
109,2026-01-01 00:55:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
110,2026-01-01 00:55:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
111,2026-01-01 00:56:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
112,2026-01-01 00:57:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
113,2026-01-01 00:57:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
114,2026-01-01 00:58:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
115,2026-01-01 00:58:30.000,HS102A,P-102A REFLUX PUMP MOTOR,TRIP
116,2026-01-01 00:58:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
117,2026-01-01 00:59:30.000,HS102A,P-102A REFLUX PUMP MOTOR,TRIP RECOVERED
118,2026-01-01 01:00:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH
119,2026-01-01 01:00:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
120,2026-01-01 01:01:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
121,2026-01-01 01:01:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
122,2026-01-01 01:02:00.000,PI100,COLUMN FEED PRESSURE,LOW
123,2026-01-01 01:02:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
124,2026-01-01 01:03:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
125,2026-01-01 01:04:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
126,2026-01-01 01:04:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
127,2026-01-01 01:04:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
128,2026-01-01 01:05:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
129,2026-01-01 01:07:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
130,2026-01-01 01:08:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
131,2026-01-01 01:08:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
132,2026-01-01 01:09:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
133,2026-01-01 01:10:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
134,2026-01-01 01:11:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
135,2026-01-01 01:12:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
136,2026-01-01 01:12:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
137,2026-01-01 01:12:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
138,2026-01-01 01:13:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
139,2026-01-01 01:14:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
140,2026-01-01 01:14:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH RECOVERED
141,2026-01-01 01:15:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
142,2026-01-01 01:16:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
143,2026-01-01 01:16:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
144,2026-01-01 01:16:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
145,2026-01-01 01:17:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
146,2026-01-01 01:18:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
147,2026-01-01 01:18:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
148,2026-01-01 01:18:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH
149,2026-01-01 01:20:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
150,2026-01-01 01:20:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
151,2026-01-01 01:21:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
152,2026-01-01 01:23:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
153,2026-01-01 01:23:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
154,2026-01-01 01:23:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH
155,2026-01-01 01:24:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
156,2026-01-01 01:24:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
157,2026-01-01 01:25:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
158,2026-01-01 01:25:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
159,2026-01-01 01:26:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
160,2026-01-01 01:26:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
161,2026-01-01 01:27:00.000,HS103A,P-103A PRODUCT PUMP MOTOR,OVERLOAD
162,2026-01-01 01:29:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH
163,2026-01-01 01:30:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
164,2026-01-01 01:30:00.000,HS103A,P-103A PRODUCT PUMP MOTOR,OVERLOAD RECOVERED
165,2026-01-01 01:31:00.000,FI111,BENZENE PRODUCT FLOW,HIGH
166,2026-01-01 01:32:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
167,2026-01-01 01:32:00.000,TI100,COLUMN FEED TEMPERATURE,HIGH
168,2026-01-01 01:32:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
169,2026-01-01 01:33:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH RECOVERED
170,2026-01-01 01:33:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
171,2026-01-01 01:33:30.000,FI111,BENZENE PRODUCT FLOW,HIGH RECOVERED
172,2026-01-01 01:34:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH
173,2026-01-01 01:34:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
174,2026-01-01 01:34:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
175,2026-01-01 01:34:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
176,2026-01-01 01:35:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
177,2026-01-01 01:35:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
178,2026-01-01 01:37:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
179,2026-01-01 01:37:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH RECOVERED
180,2026-01-01 01:39:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
181,2026-01-01 01:40:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
182,2026-01-01 01:41:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
183,2026-01-01 01:43:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
184,2026-01-01 01:43:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
185,2026-01-01 01:44:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
186,2026-01-01 01:44:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH
187,2026-01-01 01:44:30.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,HIGH RECOVERED
188,2026-01-01 01:46:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
189,2026-01-01 01:46:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
190,2026-01-01 01:47:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
191,2026-01-01 01:48:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
192,2026-01-01 01:49:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
193,2026-01-01 01:49:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
194,2026-01-01 01:49:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
195,2026-01-01 01:50:00.000,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH
196,2026-01-01 01:50:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH
197,2026-01-01 01:51:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
198,2026-01-01 01:51:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
199,2026-01-01 01:51:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
200,2026-01-01 01:51:30.000,TI103,T-101 DISTILLATION COLUMN TEMPERATURE 3,HIGH RECOVERED
201,2026-01-01 01:52:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
202,2026-01-01 01:53:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
203,2026-01-01 01:53:37.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW
204,2026-01-01 01:54:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT
205,2026-01-01 01:55:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
206,2026-01-01 01:55:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,FAULT RECOVERED
207,2026-01-01 01:55:30.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW RECOVERED
208,2026-01-01 01:55:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
209,2026-01-01 01:55:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
210,2026-01-01 01:56:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
211,2026-01-01 01:56:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
212,2026-01-01 01:57:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
213,2026-01-01 01:57:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH
214,2026-01-01 01:57:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
215,2026-01-01 01:58:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
216,2026-01-01 01:58:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
217,2026-01-01 01:58:38.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW
218,2026-01-01 02:00:00.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW RECOVERED
219,2026-01-01 02:00:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
220,2026-01-01 02:00:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
221,2026-01-01 02:03:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH
222,2026-01-01 02:03:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
223,2026-01-01 02:04:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
224,2026-01-01 02:04:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
225,2026-01-01 02:05:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW
226,2026-01-01 02:07:30.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW RECOVERED
227,2026-01-01 02:08:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
228,2026-01-01 02:08:30.000,HS103A,P-103A PRODUCT PUMP MOTOR,FAULT
229,2026-01-01 02:09:30.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH RECOVERED
230,2026-01-01 02:10:30.000,FI107,E-107 COOLING WATER FLOW,FAULT
231,2026-01-01 02:11:00.000,FI106,E-106 REBOILER INLET FLOW,HIGH
232,2026-01-01 02:11:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
233,2026-01-01 02:11:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
234,2026-01-01 02:12:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
235,2026-01-01 02:12:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
236,2026-01-01 02:12:30.000,FI107,E-107 COOLING WATER FLOW,FAULT RECOVERED
237,2026-01-01 02:13:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW RECOVERED
238,2026-01-01 02:13:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
239,2026-01-01 02:13:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
240,2026-01-01 02:13:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
241,2026-01-01 02:14:28.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW
242,2026-01-01 02:15:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH
243,2026-01-01 02:16:00.000,FI110,TOLUENE PRODUCT FLOW,LOW
244,2026-01-01 02:16:00.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW RECOVERED
245,2026-01-01 02:16:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
246,2026-01-01 02:16:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
247,2026-01-01 02:16:30.000,FI110,TOLUENE PRODUCT FLOW,LOW RECOVERED
248,2026-01-01 02:17:00.000,TI102,T-101 DISTILLATION COLUMN TEMPERATURE 2,HIGH
249,2026-01-01 02:17:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
250,2026-01-01 02:17:30.000,HS103A,P-103A PRODUCT PUMP MOTOR,FAULT RECOVERED
251,2026-01-01 02:19:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
252,2026-01-01 02:19:00.000,FI100,COLUMN FEED FLOW,LOW
253,2026-01-01 02:19:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
254,2026-01-01 02:20:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
255,2026-01-01 02:21:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
256,2026-01-01 02:21:29.000,FI100,COLUMN FEED FLOW,LOW LOW
257,2026-01-01 02:21:30.000,FI101,T-101 REFLUX FLOW,HIGH
258,2026-01-01 02:21:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
259,2026-01-01 02:21:47.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW
260,2026-01-01 02:22:00.000,FI100,COLUMN FEED FLOW,LOW LOW RECOVERED
261,2026-01-01 02:22:00.000,FI100,COLUMN FEED FLOW,LOW RECOVERED
262,2026-01-01 02:22:30.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW RECOVERED
263,2026-01-01 02:23:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW
264,2026-01-01 02:23:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
265,2026-01-01 02:23:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
266,2026-01-01 02:24:30.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW
267,2026-01-01 02:25:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH
268,2026-01-01 02:25:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW RECOVERED
269,2026-01-01 02:25:00.000,FI106,E-106 REBOILER INLET FLOW,LOW LOW RECOVERED
270,2026-01-01 02:25:00.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
271,2026-01-01 02:26:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT
272,2026-01-01 02:27:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,FAULT RECOVERED
273,2026-01-01 02:27:30.000,FI106,E-106 REBOILER INLET FLOW,LOW
274,2026-01-01 02:28:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
275,2026-01-01 02:29:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT
276,2026-01-01 02:31:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,HIGH RECOVERED
277,2026-01-01 02:32:00.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW
278,2026-01-01 02:33:30.000,FI101,T-101 REFLUX FLOW,HIGH RECOVERED
279,2026-01-01 02:34:30.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
280,2026-01-01 02:36:30.000,TI104,T-101 DISTILLATION COLUMN TEMPERATURE 4,LOW RECOVERED
281,2026-01-01 02:38:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT
282,2026-01-01 02:38:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH
283,2026-01-01 02:41:00.000,FI106,E-106 REBOILER INLET FLOW,FAULT RECOVERED
284,2026-01-01 02:41:30.000,FI106,E-106 REBOILER INLET FLOW,HIGH RECOVERED
285,2026-01-01 02:42:00.000,TI101,T-101 DISTILLATION COLUMN TEMPERATURE 1,LOW
286,2026-01-01 02:42:30.000,FI106,E-106 REBOILER INLET FLOW,LOW RECOVERED
287,2026-01-01 02:43:00.000,FI106,E-106 REBOILER INLET FLOW,LOW
