,timestamp,tag,type,description
31,2024-05-01 00:34:40.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
32,2024-05-01 00:43:20.000000000,FIR123,H,FLW COND CW HIGH ALM
33,2024-05-01 00:43:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
34,2024-05-01 00:44:00.000000000,FIR123,L,FLW COND CW LOW ALM
35,2024-05-01 00:44:10.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
36,2024-05-01 00:49:10.000000000,FIR123,L,FLW COND CW LOW ALM
37,2024-05-01 00:49:20.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
38,2024-05-01 00:49:30.000000000,FIR123,H,FLW COND CW HIGH ALM
39,2024-05-01 00:49:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
40,2024-05-01 00:49:50.000000000,FIR123,L,FLW COND CW LOW ALM
41,2024-05-01 00:50:00.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
42,2024-05-01 00:53:10.000000000,FIR123,L,FLW COND CW LOW ALM
43,2024-05-01 00:53:20.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
44,2024-05-01 00:55:20.000000000,FIR123,H,FLW COND CW HIGH ALM
45,2024-05-01 00:55:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
46,2024-05-01 00:56:20.000000000,FIR123,H,FLW COND CW HIGH ALM
47,2024-05-01 00:56:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
48,2024-05-01 00:59:10.000000000,FIR123,L,FLW COND CW LOW ALM
49,2024-05-01 00:59:20.000000000,FIR123,L NR,FLW COND CW LOW ALM RECOVERED
50,2024-05-01 01:00:10.000000000,TIR123,H,TEMP COND CWS HIGH ALM
51,2024-05-01 01:02:20.000000000,FIR123,H,FLW COND CW HIGH ALM
52,2024-05-01 01:02:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
53,2024-05-01 01:02:40.000000000,FIR123,H,FLW COND CW HIGH ALM
54,2024-05-01 01:03:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
55,2024-05-01 01:03:50.000000000,FIR123,H,FLW COND CW HIGH ALM
56,2024-05-01 01:05:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
57,2024-05-01 01:05:50.000000000,FIR123,H,FLW COND CW HIGH ALM
58,2024-05-01 01:06:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
59,2024-05-01 01:07:00.000000000,FIR123,H,FLW COND CW HIGH ALM
60,2024-05-01 01:07:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
61,2024-05-01 01:07:50.000000000,FIR123,H,FLW COND CW HIGH ALM
62,2024-05-01 01:08:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
63,2024-05-01 01:09:20.000000000,FIR123,H,FLW COND CW HIGH ALM
64,2024-05-01 01:09:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
65,2024-05-01 01:10:10.000000000,FIR123,H,FLW COND CW HIGH ALM
66,2024-05-01 01:10:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
67,2024-05-01 01:10:40.000000000,FIR123,H,FLW COND CW HIGH ALM
68,2024-05-01 01:10:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
69,2024-05-01 01:11:10.000000000,FIR123,H,FLW COND CW HIGH ALM
70,2024-05-01 01:11:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
71,2024-05-01 01:12:00.000000000,FIR123,H,FLW COND CW HIGH ALM
72,2024-05-01 01:12:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
73,2024-05-01 01:12:40.000000000,FIR123,H,FLW COND CW HIGH ALM
74,2024-05-01 01:12:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
75,2024-05-01 01:13:00.000000000,FIR123,H,FLW COND CW HIGH ALM
76,2024-05-01 01:13:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
77,2024-05-01 01:13:20.000000000,FIR123,H,FLW COND CW HIGH ALM
78,2024-05-01 01:13:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
79,2024-05-01 01:14:00.000000000,FIR123,H,FLW COND CW HIGH ALM
80,2024-05-01 01:15:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
81,2024-05-01 01:15:10.000000000,FIR123,H,FLW COND CW HIGH ALM
82,2024-05-01 01:15:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
83,2024-05-01 01:15:30.000000000,FIR123,H,FLW COND CW HIGH ALM
84,2024-05-01 01:16:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
85,2024-05-01 01:16:30.000000000,FIR123,H,FLW COND CW HIGH ALM
86,2024-05-01 01:16:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
87,2024-05-01 01:16:50.000000000,FIR123,H,FLW COND CW HIGH ALM
88,2024-05-01 01:17:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
89,2024-05-01 01:17:30.000000000,FIR123,H,FLW COND CW HIGH ALM
90,2024-05-01 01:17:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
91,2024-05-01 01:18:00.000000000,FIR123,H,FLW COND CW HIGH ALM
92,2024-05-01 01:18:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
93,2024-05-01 01:18:40.000000000,FIR123,H,FLW COND CW HIGH ALM
94,2024-05-01 01:19:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
95,2024-05-01 01:19:50.000000000,FIR123,H,FLW COND CW HIGH ALM
96,2024-05-01 01:20:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
97,2024-05-01 01:20:30.000000000,FIR123,H,FLW COND CW HIGH ALM
98,2024-05-01 01:21:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
99,2024-05-01 01:21:40.000000000,FIR123,H,FLW COND CW HIGH ALM
100,2024-05-01 01:21:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
101,2024-05-01 01:23:00.000000000,FIR123,H,FLW COND CW HIGH ALM
102,2024-05-01 01:23:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
103,2024-05-01 01:23:50.000000000,FIR123,H,FLW COND CW HIGH ALM
104,2024-05-01 01:24:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
105,2024-05-01 01:25:10.000000000,FIR123,H,FLW COND CW HIGH ALM
106,2024-05-01 01:25:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
107,2024-05-01 01:26:10.000000000,FIR123,H,FLW COND CW HIGH ALM
108,2024-05-01 01:26:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
109,2024-05-01 01:26:50.000000000,FIR123,H,FLW COND CW HIGH ALM
110,2024-05-01 01:27:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
111,2024-05-01 01:28:20.000000000,FIR123,H,FLW COND CW HIGH ALM
112,2024-05-01 01:28:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
113,2024-05-01 01:29:10.000000000,FIR123,H,FLW COND CW HIGH ALM
114,2024-05-01 01:29:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
115,2024-05-01 01:29:30.000000000,FIR123,H,FLW COND CW HIGH ALM
116,2024-05-01 01:30:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
117,2024-05-01 01:30:10.000000000,FIR123,H,FLW COND CW HIGH ALM
118,2024-05-01 01:30:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
119,2024-05-01 01:30:50.000000000,FIR123,H,FLW COND CW HIGH ALM
120,2024-05-01 01:31:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
121,2024-05-01 01:31:30.000000000,FIR123,H,FLW COND CW HIGH ALM
122,2024-05-01 01:31:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
123,2024-05-01 01:32:20.000000000,FIR123,H,FLW COND CW HIGH ALM
124,2024-05-01 01:33:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
125,2024-05-01 01:34:10.000000000,FIR123,H,FLW COND CW HIGH ALM
126,2024-05-01 01:34:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
127,2024-05-01 01:34:50.000000000,FIR123,H,FLW COND CW HIGH ALM
128,2024-05-01 01:35:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
129,2024-05-01 01:35:50.000000000,FIR123,H,FLW COND CW HIGH ALM
130,2024-05-01 01:36:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
131,2024-05-01 01:36:10.000000000,FIR123,H,FLW COND CW HIGH ALM
132,2024-05-01 01:36:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
133,2024-05-01 01:36:50.000000000,FIR123,H,FLW COND CW HIGH ALM
134,2024-05-01 01:37:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
135,2024-05-01 01:37:20.000000000,FIR123,H,FLW COND CW HIGH ALM
136,2024-05-01 01:37:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
137,2024-05-01 01:38:00.000000000,FIR123,H,FLW COND CW HIGH ALM
138,2024-05-01 01:38:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
139,2024-05-01 01:38:50.000000000,FIR123,H,FLW COND CW HIGH ALM
140,2024-05-01 01:39:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
141,2024-05-01 01:39:40.000000000,FIR123,H,FLW COND CW HIGH ALM
142,2024-05-01 01:39:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
143,2024-05-01 01:40:10.000000000,FIR123,H,FLW COND CW HIGH ALM
144,2024-05-01 01:40:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
145,2024-05-01 01:40:40.000000000,FIR123,H,FLW COND CW HIGH ALM
146,2024-05-01 01:40:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
147,2024-05-01 01:41:10.000000000,FIR123,H,FLW COND CW HIGH ALM
148,2024-05-01 01:41:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
149,2024-05-01 01:41:30.000000000,FIR123,H,FLW COND CW HIGH ALM
150,2024-05-01 01:41:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
151,2024-05-01 01:42:10.000000000,FIR123,H,FLW COND CW HIGH ALM
152,2024-05-01 01:42:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
153,2024-05-01 01:42:30.000000000,FIR123,H,FLW COND CW HIGH ALM
154,2024-05-01 01:43:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
155,2024-05-01 01:43:20.000000000,FIR123,H,FLW COND CW HIGH ALM
156,2024-05-01 01:44:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
157,2024-05-01 01:45:00.000000000,FIR123,H,FLW COND CW HIGH ALM
158,2024-05-01 01:45:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
159,2024-05-01 01:45:30.000000000,FIR123,H,FLW COND CW HIGH ALM
160,2024-05-01 01:46:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
161,2024-05-01 01:46:10.000000000,FIR123,H,FLW COND CW HIGH ALM
162,2024-05-01 01:46:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
163,2024-05-01 01:47:10.000000000,FIR123,H,FLW COND CW HIGH ALM
164,2024-05-01 01:47:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
165,2024-05-01 01:47:40.000000000,FIR123,H,FLW COND CW HIGH ALM
166,2024-05-01 01:48:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
167,2024-05-01 01:49:00.000000000,FIR123,H,FLW COND CW HIGH ALM
168,2024-05-01 01:49:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
169,2024-05-01 01:49:40.000000000,FIR123,H,FLW COND CW HIGH ALM
170,2024-05-01 01:49:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
171,2024-05-01 01:50:10.000000000,FIR123,H,FLW COND CW HIGH ALM
172,2024-05-01 01:50:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
173,2024-05-01 01:51:20.000000000,FIR123,H,FLW COND CW HIGH ALM
174,2024-05-01 01:51:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
175,2024-05-01 01:51:50.000000000,FIR123,H,FLW COND CW HIGH ALM
176,2024-05-01 01:52:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
177,2024-05-01 01:52:30.000000000,FIR123,H,FLW COND CW HIGH ALM
178,2024-05-01 01:53:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
179,2024-05-01 01:53:20.000000000,FIR123,H,FLW COND CW HIGH ALM
180,2024-05-01 01:54:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
181,2024-05-01 01:54:40.000000000,FIR123,H,FLW COND CW HIGH ALM
182,2024-05-01 01:54:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
183,2024-05-01 01:55:00.000000000,FIR123,H,FLW COND CW HIGH ALM
184,2024-05-01 01:55:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
185,2024-05-01 01:55:20.000000000,FIR123,H,FLW COND CW HIGH ALM
186,2024-05-01 01:55:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
187,2024-05-01 01:56:10.000000000,FIR123,H,FLW COND CW HIGH ALM
188,2024-05-01 01:56:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
189,2024-05-01 01:56:40.000000000,FIR123,H,FLW COND CW HIGH ALM
190,2024-05-01 01:56:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
191,2024-05-01 01:57:00.000000000,FIR123,H,FLW COND CW HIGH ALM
192,2024-05-01 01:57:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
193,2024-05-01 01:57:30.000000000,FIR123,H,FLW COND CW HIGH ALM
194,2024-05-01 01:57:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
195,2024-05-01 01:58:00.000000000,FIR123,H,FLW COND CW HIGH ALM
196,2024-05-01 01:58:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
197,2024-05-01 01:58:20.000000000,FIR123,H,FLW COND CW HIGH ALM
198,2024-05-01 01:58:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
199,2024-05-01 01:59:00.000000000,FIR123,H,FLW COND CW HIGH ALM
200,2024-05-01 01:59:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
201,2024-05-01 01:59:30.000000000,FIR123,H,FLW COND CW HIGH ALM
202,2024-05-01 02:00:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
203,2024-05-01 02:00:30.000000000,FIR123,H,FLW COND CW HIGH ALM
204,2024-05-01 02:00:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
205,2024-05-01 02:01:00.000000000,FIR123,H,FLW COND CW HIGH ALM
206,2024-05-01 02:01:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
207,2024-05-01 02:01:20.000000000,FIR123,H,FLW COND CW HIGH ALM
208,2024-05-01 02:01:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
209,2024-05-01 02:01:40.000000000,FIR123,H,FLW COND CW HIGH ALM
210,2024-05-01 02:01:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
211,2024-05-01 02:02:10.000000000,FIR123,H,FLW COND CW HIGH ALM
212,2024-05-01 02:02:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
213,2024-05-01 02:04:30.000000000,FIR123,H,FLW COND CW HIGH ALM
214,2024-05-01 02:04:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
215,2024-05-01 02:05:00.000000000,FIR123,H,FLW COND CW HIGH ALM
216,2024-05-01 02:05:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
217,2024-05-01 02:05:50.000000000,FIR123,H,FLW COND CW HIGH ALM
218,2024-05-01 02:07:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
219,2024-05-01 02:08:20.000000000,FIR123,H,FLW COND CW HIGH ALM
220,2024-05-01 02:08:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
221,2024-05-01 02:08:50.000000000,FIR123,H,FLW COND CW HIGH ALM
222,2024-05-01 02:09:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
223,2024-05-01 02:09:20.000000000,FIR123,H,FLW COND CW HIGH ALM
224,2024-05-01 02:09:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
225,2024-05-01 02:09:40.000000000,FIR123,H,FLW COND CW HIGH ALM
226,2024-05-01 02:10:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
227,2024-05-01 02:10:10.000000000,FIR123,H,FLW COND CW HIGH ALM
228,2024-05-01 02:11:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
229,2024-05-01 02:11:20.000000000,FIR123,H,FLW COND CW HIGH ALM
230,2024-05-01 02:11:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
231,2024-05-01 02:11:40.000000000,FIR123,H,FLW COND CW HIGH ALM
232,2024-05-01 02:12:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
233,2024-05-01 02:12:10.000000000,FIR123,H,FLW COND CW HIGH ALM
234,2024-05-01 02:12:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
235,2024-05-01 02:12:50.000000000,FIR123,H,FLW COND CW HIGH ALM
236,2024-05-01 02:13:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
237,2024-05-01 02:13:30.000000000,FIR123,H,FLW COND CW HIGH ALM
238,2024-05-01 02:14:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
239,2024-05-01 02:14:10.000000000,FIR123,H,FLW COND CW HIGH ALM
240,2024-05-01 02:14:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
241,2024-05-01 02:14:40.000000000,FIR123,H,FLW COND CW HIGH ALM
242,2024-05-01 02:15:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
243,2024-05-01 02:15:20.000000000,FIR123,H,FLW COND CW HIGH ALM
244,2024-05-01 02:15:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
245,2024-05-01 02:15:40.000000000,FIR123,H,FLW COND CW HIGH ALM
246,2024-05-01 02:15:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
247,2024-05-01 02:16:10.000000000,FIR123,H,FLW COND CW HIGH ALM
248,2024-05-01 02:16:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
249,2024-05-01 02:17:00.000000000,FIR123,H,FLW COND CW HIGH ALM
250,2024-05-01 02:17:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
251,2024-05-01 02:17:50.000000000,FIR123,H,FLW COND CW HIGH ALM
252,2024-05-01 02:18:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
253,2024-05-01 02:18:20.000000000,FIR123,H,FLW COND CW HIGH ALM
254,2024-05-01 02:18:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
255,2024-05-01 02:19:20.000000000,FIR123,H,FLW COND CW HIGH ALM
256,2024-05-01 02:19:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
257,2024-05-01 02:19:50.000000000,FIR123,H,FLW COND CW HIGH ALM
258,2024-05-01 02:20:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
259,2024-05-01 02:20:40.000000000,FIR123,H,FLW COND CW HIGH ALM
260,2024-05-01 02:21:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
261,2024-05-01 02:21:30.000000000,FIR123,H,FLW COND CW HIGH ALM
262,2024-05-01 02:21:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
263,2024-05-01 02:22:00.000000000,FIR123,H,FLW COND CW HIGH ALM
264,2024-05-01 02:22:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
265,2024-05-01 02:22:50.000000000,FIR123,H,FLW COND CW HIGH ALM
266,2024-05-01 02:23:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
267,2024-05-01 02:23:20.000000000,FIR123,H,FLW COND CW HIGH ALM
268,2024-05-01 02:23:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
269,2024-05-01 02:23:50.000000000,FIR123,H,FLW COND CW HIGH ALM
270,2024-05-01 02:24:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
271,2024-05-01 02:24:40.000000000,FIR123,H,FLW COND CW HIGH ALM
272,2024-05-01 02:25:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
273,2024-05-01 02:25:50.000000000,FIR123,H,FLW COND CW HIGH ALM
274,2024-05-01 02:26:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
275,2024-05-01 02:27:10.000000000,FIR123,H,FLW COND CW HIGH ALM
276,2024-05-01 02:27:20.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
277,2024-05-01 02:27:40.000000000,FIR123,H,FLW COND CW HIGH ALM
278,2024-05-01 02:27:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
279,2024-05-01 02:28:00.000000000,FIR123,H,FLW COND CW HIGH ALM
280,2024-05-01 02:28:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
281,2024-05-01 02:28:20.000000000,FIR123,H,FLW COND CW HIGH ALM
282,2024-05-01 02:30:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
283,2024-05-01 02:30:20.000000000,FIR123,H,FLW COND CW HIGH ALM
284,2024-05-01 02:30:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
285,2024-05-01 02:31:50.000000000,FIR123,H,FLW COND CW HIGH ALM
286,2024-05-01 02:32:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
287,2024-05-01 02:33:10.000000000,FIR123,H,FLW COND CW HIGH ALM
288,2024-05-01 02:34:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
289,2024-05-01 02:34:10.000000000,FIR123,H,FLW COND CW HIGH ALM
290,2024-05-01 02:34:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
291,2024-05-01 02:35:10.000000000,FIR123,H,FLW COND CW HIGH ALM
292,2024-05-01 02:36:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
293,2024-05-01 02:36:50.000000000,FIR123,H,FLW COND CW HIGH ALM
294,2024-05-01 02:37:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
295,2024-05-01 02:37:30.000000000,FIR123,H,FLW COND CW HIGH ALM
296,2024-05-01 02:37:40.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
297,2024-05-01 02:38:00.000000000,FIR123,H,FLW COND CW HIGH ALM
298,2024-05-01 02:38:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
299,2024-05-01 02:38:40.000000000,FIR123,H,FLW COND CW HIGH ALM
300,2024-05-01 02:39:00.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
301,2024-05-01 02:39:20.000000000,FIR123,H,FLW COND CW HIGH ALM
302,2024-05-01 02:39:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
303,2024-05-01 02:39:40.000000000,FIR123,H,FLW COND CW HIGH ALM
304,2024-05-01 02:39:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
305,2024-05-01 02:40:00.000000000,FIR123,H,FLW COND CW HIGH ALM
306,2024-05-01 02:40:10.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
307,2024-05-01 02:40:20.000000000,FIR123,H,FLW COND CW HIGH ALM
308,2024-05-01 02:40:50.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
309,2024-05-01 02:41:00.000000000,FIR123,H,FLW COND CW HIGH ALM
310,2024-05-01 02:41:30.000000000,FIR123,H NR,FLW COND CW HIGH ALM RECOVERED
