,time,alarm_text
127,2024-05-01 04:23:50,PT-2222: Compressor C-122 Suction Pressure - High
128,2024-05-01 04:26:41,LT-4343: Vessel V-143 Liquid Level - Low
129,2024-05-01 04:29:47,PT-4242: Compressor C-142 Discharge Pressure - High-High
130,2024-05-01 04:30:54,FT-3333: Vessel V-133 Flow Rate - High
131,2024-05-01 04:32:19,PT-4242: Compressor C-142 Discharge Pressure - High-High
132,2024-05-01 04:37:00,LT-3131: Vessel V-131 Liquid Level - High-High
133,2024-05-01 04:41:21,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
134,2024-05-01 04:41:21,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
135,2024-05-01 04:41:21,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
136,2024-05-01 04:42:19,TT-4444: Pump P-144 Inlet Temperature - High
137,2024-05-01 04:44:52,TT-3232: Pump P-132 Outlet Temperature - Low
138,2024-05-01 04:49:19,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
139,2024-05-01 04:49:34,PT-1010: Compressor C-110 Discharge Pressure - Low-Low
140,2024-05-01 04:50:25,FT-4545: Vessel V-145 Flow Rate - Low-Low
141,2024-05-01 04:52:31,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
142,2024-05-01 04:52:31,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
143,2024-05-01 04:52:31,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
144,2024-05-01 04:54:16,PT-3030: Compressor C-130 Suction Pressure - High
145,2024-05-01 04:55:36,PT-2626: Compressor C-126 Discharge Pressure - Low
146,2024-05-01 05:00:11,TT-2020: Pump P-120 Inlet Temperature - High-High
147,2024-05-01 05:02:24,LT-2727: Vessel V-127 Liquid Level - High
148,2024-05-01 05:07:05,FT-3333: Vessel V-133 Flow Rate - High
149,2024-05-01 05:09:20,TT-1616: Pump P-116 Outlet Temperature - Low
150,2024-05-01 05:12:27,TT-3636: Pump P-136 Inlet Temperature - Low
151,2024-05-01 05:14:14,FT-5005: Vessel V-105 Flow Rate - Low-Low
152,2024-05-01 05:18:14,FT-4949: Vessel V-149 Flow Rate - High
153,2024-05-01 05:21:06,FT-2121: Vessel V-121 Flow Rate - Low
154,2024-05-01 05:21:06,LT-1919: Vessel V-119 Liquid Level - Low
155,2024-05-01 05:21:06,FT-3737: Vessel V-137 Flow Rate - High-High
156,2024-05-01 05:25:23,FT-4949: Vessel V-149 Flow Rate - High
157,2024-05-01 05:26:41,LT-1111: Pump P-111 Liquid Level - High
158,2024-05-01 05:31:01,LT-4747: Vessel V-147 Liquid Level - High-High
159,2024-05-01 05:35:37,LT-1515: Vessel V-115 Liquid Level - High-High
160,2024-05-01 05:39:14,PT-5050: Compressor C-150 Discharge Pressure - Low-Low
161,2024-05-01 05:41:31,PT-1414: Compressor C-114 Suction Pressure - Low
162,2024-05-01 05:41:31,PT-2626: Compressor C-126 Discharge Pressure - Low
163,2024-05-01 05:41:31,PT-2222: Compressor C-122 Suction Pressure - High
164,2024-05-01 05:42:39,LT-2323: Vessel V-123 Liquid Level - Low-Low
165,2024-05-01 05:47:37,FT-1313: Vessel V-113 Flow Rate - High-High
166,2024-05-01 05:48:09,FT-4141: Vessel V-141 Flow Rate - Low
167,2024-05-01 05:50:02,TT-8008: Pump P-108 Inlet Temperature - Low
168,2024-05-01 05:54:52,PT-1414: Compressor C-114 Suction Pressure - Low
169,2024-05-01 05:54:52,PT-2626: Compressor C-126 Discharge Pressure - Low
170,2024-05-01 05:54:52,PT-2222: Compressor C-122 Suction Pressure - High
171,2024-05-01 05:58:11,PT-3838: Compressor C-138 Suction Pressure - Low
172,2024-05-01 05:58:45,LT-4747: Vessel V-147 Liquid Level - High-High
173,2024-05-01 06:02:40,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
174,2024-05-01 06:04:43,LT-2727: Vessel V-127 Liquid Level - High
175,2024-05-01 06:04:50,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
176,2024-05-01 06:08:50,TT-2424: Pump P-124 Outlet Temperature - High
177,2024-05-01 06:10:39,TT-3232: Pump P-132 Outlet Temperature - Low
178,2024-05-01 06:14:36,LT-7007: Vessel V-107 Liquid Level - High-High
179,2024-05-01 06:17:09,TT-4848: Pump P-148 Outlet Temperature - Low
180,2024-05-01 06:18:58,LT-3535: Vessel V-135 Liquid Level - High
181,2024-05-01 06:23:51,FT-2121: Vessel V-121 Flow Rate - Low
182,2024-05-01 06:23:51,LT-1919: Vessel V-119 Liquid Level - Low
183,2024-05-01 06:23:51,FT-3737: Vessel V-137 Flow Rate - High-High
184,2024-05-01 06:24:58,PT-3838: Compressor C-138 Suction Pressure - Low
185,2024-05-01 06:27:33,PT-4242: Compressor C-142 Discharge Pressure - High-High
186,2024-05-01 06:31:18,PT-1414: Compressor C-114 Suction Pressure - Low
187,2024-05-01 06:32:10,FT-4141: Vessel V-141 Flow Rate - Low
188,2024-05-01 06:34:26,FT-4545: Vessel V-145 Flow Rate - Low-Low
189,2024-05-01 06:36:05,LT-2002: Compressor C-102 Liquid Level - Low
190,2024-05-01 06:39:07,PT-1414: Compressor C-114 Suction Pressure - Low
191,2024-05-01 06:39:07,PT-2626: Compressor C-126 Discharge Pressure - Low
192,2024-05-01 06:39:07,PT-2222: Compressor C-122 Suction Pressure - High
193,2024-05-01 06:42:30,TT-4444: Pump P-144 Inlet Temperature - High
194,2024-05-01 06:42:30,TT-1616: Pump P-116 Outlet Temperature - Low
195,2024-05-01 06:42:30,TT-4848: Pump P-148 Outlet Temperature - Low
196,2024-05-01 06:45:44,TT-4848: Pump P-148 Outlet Temperature - Low
197,2024-05-01 06:47:18,PT-1414: Compressor C-114 Suction Pressure - Low
198,2024-05-01 06:47:18,PT-2626: Compressor C-126 Discharge Pressure - Low
199,2024-05-01 06:47:18,PT-2222: Compressor C-122 Suction Pressure - High
200,2024-05-01 06:50:20,TT-3232: Pump P-132 Outlet Temperature - Low
201,2024-05-01 06:51:15,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
202,2024-05-01 06:54:01,PT-1818: Compressor C-118 Discharge Pressure - High
203,2024-05-01 06:55:54,LT-7007: Vessel V-107 Liquid Level - High-High
204,2024-05-01 06:58:43,LT-2323: Vessel V-123 Liquid Level - Low-Low
205,2024-05-01 06:59:46,FT-2929: Vessel V-129 Flow Rate - Low-Low
206,2024-05-01 07:01:05,FV-1001: Vessel V-101 Pressure - High
207,2024-05-01 07:01:48,FT-4949: Vessel V-149 Flow Rate - High
208,2024-05-01 07:02:30,FT-3333: Vessel V-133 Flow Rate - High
209,2024-05-01 07:07:20,PT-1818: Compressor C-118 Discharge Pressure - High
210,2024-05-01 07:11:28,TT-2424: Pump P-124 Outlet Temperature - High
211,2024-05-01 07:13:31,LT-3131: Vessel V-131 Liquid Level - High-High
212,2024-05-01 07:13:56,LT-4343: Vessel V-143 Liquid Level - Low
213,2024-05-01 07:17:25,LT-2002: Compressor C-102 Liquid Level - Low
214,2024-05-01 07:21:23,PT-3030: Compressor C-130 Suction Pressure - High
215,2024-05-01 07:24:05,LT-4747: Vessel V-147 Liquid Level - High-High
216,2024-05-01 07:26:17,FT-2929: Vessel V-129 Flow Rate - Low-Low
217,2024-05-01 07:29:24,FT-4141: Vessel V-141 Flow Rate - Low
218,2024-05-01 07:29:41,FT-2121: Vessel V-121 Flow Rate - Low
219,2024-05-01 07:29:41,LT-1919: Vessel V-119 Liquid Level - Low
220,2024-05-01 07:29:41,FT-3737: Vessel V-137 Flow Rate - High-High
221,2024-05-01 07:30:42,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
222,2024-05-01 07:33:11,LT-2323: Vessel V-123 Liquid Level - Low-Low
223,2024-05-01 07:35:06,FT-1717: Vessel V-117 Flow Rate - Low-Low
224,2024-05-01 07:38:53,LT-1111: Pump P-111 Liquid Level - High
225,2024-05-01 07:41:27,PT-6006: Compressor C-106 Suction Pressure - Low
226,2024-05-01 07:42:09,TT-4848: Pump P-148 Outlet Temperature - Low
227,2024-05-01 07:45:13,LT-3131: Vessel V-131 Liquid Level - High-High
228,2024-05-01 07:45:32,TT-4040: Heat Exchanger E-140 Outlet Temperature - High
229,2024-05-01 07:50:05,TT-4040: Heat Exchanger E-140 Outlet Temperature - High
230,2024-05-01 07:53:25,FT-3333: Vessel V-133 Flow Rate - High
231,2024-05-01 07:57:27,FT-4949: Vessel V-149 Flow Rate - High
232,2024-05-01 08:02:26,PT-5050: Compressor C-150 Discharge Pressure - Low-Low
233,2024-05-01 08:05:24,TT-8008: Pump P-108 Inlet Temperature - Low
234,2024-05-01 08:05:38,FT-4141: Vessel V-141 Flow Rate - Low
235,2024-05-01 08:09:10,FT-4545: Vessel V-145 Flow Rate - Low-Low
236,2024-05-01 08:12:40,PT-4242: Compressor C-142 Discharge Pressure - High-High
237,2024-05-01 08:17:18,FT-3737: Vessel V-137 Flow Rate - High-High
238,2024-05-01 08:19:39,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
239,2024-05-01 08:19:39,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
240,2024-05-01 08:19:39,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
241,2024-05-01 08:24:01,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
242,2024-05-01 08:24:01,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
243,2024-05-01 08:24:01,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
244,2024-05-01 08:26:15,PT-6006: Compressor C-106 Suction Pressure - Low
245,2024-05-01 08:31:10,PT-3030: Compressor C-130 Suction Pressure - High
246,2024-05-01 08:35:23,FT-9009: Vessel V-109 Flow Rate - High
247,2024-05-01 08:38:33,FT-5005: Vessel V-105 Flow Rate - Low-Low
248,2024-05-01 08:39:43,FT-2121: Vessel V-121 Flow Rate - Low
249,2024-05-01 08:39:43,LT-1919: Vessel V-119 Liquid Level - Low
250,2024-05-01 08:39:43,FT-3737: Vessel V-137 Flow Rate - High-High
251,2024-05-01 08:40:02,PT-3003: Pump P-103 Discharge Pressure - High-High
252,2024-05-01 08:42:05,FT-4949: Vessel V-149 Flow Rate - High
253,2024-05-01 08:45:54,PT-3030: Compressor C-130 Suction Pressure - High
254,2024-05-01 08:47:51,FT-4545: Vessel V-145 Flow Rate - Low-Low
255,2024-05-01 08:51:22,PT-6006: Compressor C-106 Suction Pressure - Low
256,2024-05-01 08:51:42,TT-4040: Heat Exchanger E-140 Outlet Temperature - High
257,2024-05-01 08:56:29,LT-3535: Vessel V-135 Liquid Level - High
258,2024-05-01 08:56:47,LT-3939: Vessel V-139 Liquid Level - Low-Low
259,2024-05-01 08:58:03,LT-7007: Vessel V-107 Liquid Level - High-High
260,2024-05-01 08:58:03,FV-1001: Vessel V-101 Pressure - High
261,2024-05-01 08:58:03,LT-3939: Vessel V-139 Liquid Level - Low-Low
262,2024-05-01 09:00:26,FT-1313: Vessel V-113 Flow Rate - High-High
263,2024-05-01 09:04:56,LT-1515: Vessel V-115 Liquid Level - High-High
264,2024-05-01 09:07:28,FT-4545: Vessel V-145 Flow Rate - Low-Low
265,2024-05-01 09:08:31,LT-3939: Vessel V-139 Liquid Level - Low-Low
266,2024-05-01 09:09:58,FT-3333: Vessel V-133 Flow Rate - High
267,2024-05-01 09:10:11,TT-8008: Pump P-108 Inlet Temperature - Low
268,2024-05-01 09:10:22,FT-3333: Vessel V-133 Flow Rate - High
269,2024-05-01 09:14:08,FT-4949: Vessel V-149 Flow Rate - High
270,2024-05-01 09:18:58,PT-1010: Compressor C-110 Discharge Pressure - Low-Low
271,2024-05-01 09:22:59,FT-3333: Vessel V-133 Flow Rate - High
272,2024-05-01 09:23:15,PT-6006: Compressor C-106 Suction Pressure - Low
273,2024-05-01 09:26:48,PT-3003: Pump P-103 Discharge Pressure - High-High
274,2024-05-01 09:31:00,PT-3030: Compressor C-130 Suction Pressure - High
275,2024-05-01 09:32:03,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
276,2024-05-01 09:32:03,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
277,2024-05-01 09:32:03,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
278,2024-05-01 09:35:16,LT-3131: Vessel V-131 Liquid Level - High-High
279,2024-05-01 09:37:01,PT-4646: Compressor C-146 Suction Pressure - High
280,2024-05-01 09:41:57,FT-2121: Vessel V-121 Flow Rate - Low
281,2024-05-01 09:41:57,LT-1919: Vessel V-119 Liquid Level - Low
282,2024-05-01 09:41:57,FT-3737: Vessel V-137 Flow Rate - High-High
283,2024-05-01 09:44:05,LT-4747: Vessel V-147 Liquid Level - High-High
284,2024-05-01 09:48:24,FT-4949: Vessel V-149 Flow Rate - High
285,2024-05-01 09:50:15,FT-9009: Vessel V-109 Flow Rate - High
286,2024-05-01 09:53:49,TT-8008: Pump P-108 Inlet Temperature - Low
287,2024-05-01 09:53:58,FT-2929: Vessel V-129 Flow Rate - Low-Low
288,2024-05-01 09:58:26,PT-3003: Pump P-103 Discharge Pressure - High-High
289,2024-05-01 09:59:15,FT-4545: Vessel V-145 Flow Rate - Low-Low
290,2024-05-01 10:02:43,PT-5050: Compressor C-150 Discharge Pressure - Low-Low
291,2024-05-01 10:05:18,LT-2727: Vessel V-127 Liquid Level - High
292,2024-05-01 10:09:57,LT-4747: Vessel V-147 Liquid Level - High-High
293,2024-05-01 10:14:12,LT-7007: Vessel V-107 Liquid Level - High-High
294,2024-05-01 10:14:12,FV-1001: Vessel V-101 Pressure - High
295,2024-05-01 10:14:12,LT-3939: Vessel V-139 Liquid Level - Low-Low
296,2024-05-01 10:18:44,TT-4444: Pump P-144 Inlet Temperature - High
297,2024-05-01 10:18:44,TT-1616: Pump P-116 Outlet Temperature - Low
298,2024-05-01 10:18:44,TT-4848: Pump P-148 Outlet Temperature - Low
299,2024-05-01 10:22:49,PT-2222: Compressor C-122 Suction Pressure - High
300,2024-05-01 10:26:46,PT-3030: Compressor C-130 Suction Pressure - High
301,2024-05-01 10:27:12,FT-2525: Vessel V-125 Flow Rate - High-High
302,2024-05-01 10:31:31,PT-3838: Compressor C-138 Suction Pressure - Low
303,2024-05-01 10:32:34,FT-4949: Vessel V-149 Flow Rate - High
304,2024-05-01 10:35:22,PT-1414: Compressor C-114 Suction Pressure - Low
305,2024-05-01 10:35:22,PT-2626: Compressor C-126 Discharge Pressure - Low
306,2024-05-01 10:35:22,PT-2222: Compressor C-122 Suction Pressure - High
307,2024-05-01 10:38:51,FT-2929: Vessel V-129 Flow Rate - Low-Low
308,2024-05-01 10:40:51,FT-9009: Vessel V-109 Flow Rate - High
309,2024-05-01 10:44:49,TT-1616: Pump P-116 Outlet Temperature - Low
310,2024-05-01 10:49:05,FT-2121: Vessel V-121 Flow Rate - Low
311,2024-05-01 10:49:05,LT-1919: Vessel V-119 Liquid Level - Low
312,2024-05-01 10:49:05,FT-3737: Vessel V-137 Flow Rate - High-High
313,2024-05-01 10:54:03,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
314,2024-05-01 10:56:40,PT-3434: Compressor C-134 Discharge Pressure - Low-Low
315,2024-05-01 10:57:44,FT-2121: Vessel V-121 Flow Rate - Low
316,2024-05-01 10:57:44,LT-1919: Vessel V-119 Liquid Level - Low
317,2024-05-01 10:57:44,FT-3737: Vessel V-137 Flow Rate - High-High
318,2024-05-01 10:57:48,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
319,2024-05-01 10:57:48,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
320,2024-05-01 10:57:48,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
321,2024-05-01 11:02:43,FT-2121: Vessel V-121 Flow Rate - Low
322,2024-05-01 11:02:43,LT-1919: Vessel V-119 Liquid Level - Low
323,2024-05-01 11:02:43,FT-3737: Vessel V-137 Flow Rate - High-High
324,2024-05-01 11:05:53,LT-3131: Vessel V-131 Liquid Level - High-High
325,2024-05-01 11:08:00,PT-6006: Compressor C-106 Suction Pressure - Low
326,2024-05-01 11:08:01,PT-2626: Compressor C-126 Discharge Pressure - Low
327,2024-05-01 11:08:15,TT-2020: Pump P-120 Inlet Temperature - High-High
328,2024-05-01 11:09:48,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
329,2024-05-01 11:09:48,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
330,2024-05-01 11:09:48,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
331,2024-05-01 11:10:22,LT-4747: Vessel V-147 Liquid Level - High-High
332,2024-05-01 11:14:40,TT-1212: Heat Exchanger E-112 Inlet Temperature - Low
333,2024-05-01 11:14:40,TT-2828: Heat Exchanger E-128 Inlet Temperature - Low
334,2024-05-01 11:14:40,TT-4004: Heat Exchanger E-104 Outlet Temperature - High
335,2024-05-01 11:17:31,TT-1616: Pump P-116 Outlet Temperature - Low
336,2024-05-01 11:19:04,PT-3838: Compressor C-138 Suction Pressure - Low
337,2024-05-01 11:19:16,FT-1313: Vessel V-113 Flow Rate - High-High
338,2024-05-01 11:19:45,TT-4848: Pump P-148 Outlet Temperature - Low
339,2024-05-01 11:20:50,FT-9009: Vessel V-109 Flow Rate - High
340,2024-05-01 11:23:35,FT-4141: Vessel V-141 Flow Rate - Low
341,2024-05-01 11:25:05,TT-1616: Pump P-116 Outlet Temperature - Low
342,2024-05-01 11:29:57,FT-2121: Vessel V-121 Flow Rate - Low
343,2024-05-01 11:34:49,TT-2020: Pump P-120 Inlet Temperature - High-High
344,2024-05-01 11:38:49,TT-2020: Pump P-120 Inlet Temperature - High-High
